isRegion, Area ,REVENUE,Total Wellhead Mcf/day,NGL Production Bbls per day, Date 
no,                Southern Oklahoma SEC ,"32,744,707.23","349,965.00",19676.00," Apr, 2017 "
no,                Mid Continent Other SEC ,"-4,097,413.94",0.00,0.00," Apr, 2017 "
yes,           Mid Continent SEC ,"126,064,685.28","1,221,454.63",87833.00," Apr, 2017 "
no,                G/P Other SEC ,"585,980.47",0.00,0.00," Apr, 2017 "
no,                G&P Other Elims SEC ,"-372,428.26",0.00,0.00," Apr, 2017 "
yes,           Gathering and Processing Other SEC ,"213,552.21",0.00,0.00," Apr, 2017 "
no,      Gathering and Processing SEC ,"425,183,585.73","4,550,985.50",360833.59," Apr, 2017 "
no,           Gas Marketing SEC ,"221,833,238.98","335,000.00",0.00," Apr, 2017 "
no,           NGL Marketing SEC ,"747,796,570.13",0.00,0.00," Apr, 2017 "
no,           NGL Logistics SEC ,"27,595,462.31",0.00,0.00," Apr, 2017 "
no,           Wholesale Propane SEC ,"11,239,372.39",0.00,0.00," Apr, 2017 "
no,           Logistics Other SEC ,"-376,815,771.42",0.00,0.00," Apr, 2017 "
yes,      Logistics SEC ,"631,648,872.39","335,000.00",0.00," Apr, 2017 "
no,                Michigan SEC ,"2,040,497.64","194,814.36",0.00," May, 2017 "
no,                DJ Basin SEC ,"92,119,822.25","801,552.03",82438.00," May, 2017 "
no,                Piceance Basin SEC ,"2,294,591.67","75,680.00",2328.00," May, 2017 "
yes,           North SEC ,"102,003,470.87","1,110,188.39",87770.27," May, 2017 "
no,                Goldsmith/Fullerton SEC ,"29,329,283.66","202,420.00",25217.00," May, 2017 "
no,                Ozona SEC ,"22,969,332.27","181,242.25",15731.78," May, 2017 "
no,                Southeast New Mexico SEC ,"66,233,316.53","442,714.00",46515.00," May, 2017 "
no,                Triad SEC ,"23,036,896.44","152,623.38",19795.87," May, 2017 "
no,                Permian Other SEC ,"-5,265,347.26",0.00,0.00," May, 2017 "
yes,           Permian SEC ,"136,303,481.63","978,999.63",107259.65," May, 2017 "
no,                Arklatex SEC ,"16,482,713.82","352,889.00",14495.00," May, 2017 "
no,                Discovery SEC ,0.00,"231,248.00",9255.00," May, 2017 "
no,                Gulf Coast SEC ,"6,389,769.80","144,325.58",5907.97," May, 2017 "
no,                South Central Texas SEC ,"64,214,415.80","515,826.00",56417.00," May, 2017 "
no,                Barnett Shale SEC ,"2,091,287.73","22,597.00",2208.00," May, 2017 "
no,                South Other SEC ,"-14,111,719.94",0.00,0.00," May, 2017 "
yes,           South SEC ,"75,066,467.21","1,266,885.58",88282.97," May, 2017 "
no,                Central Oklahoma SEC ,"30,417,059.00","269,727.00",32003.00," May, 2017 "
no,                Liberal SEC ,"39,383,505.58","367,334.15",19529.00," May, 2017 "
no,                Panhandle SEC ,"21,424,295.11","169,172.00",10105.00," May, 2017 "
no,                Southern Oklahoma SEC ,"33,413,879.27","349,955.00",19672.00," May, 2017 "
no,                Mid Continent Other SEC ,"-4,527,003.13",0.00,0.00," May, 2017 "
yes,           Mid Continent SEC ,"120,111,735.83","1,156,188.15",81309.00," May, 2017 "
no,                G/P Other SEC ,"-16,147,127.58",0.00,0.00," May, 2017 "
no,                G&P Other Elims SEC ,"-312,568.89",0.00,0.00," May, 2017 "
yes,           Gathering and Processing Other SEC ,"-16,459,696.47",0.00,0.00," May, 2017 "
no,      Gathering and Processing SEC ,"417,025,459.07","4,512,261.76",364621.89," May, 2017 "
no,           Gas Marketing SEC ,"230,314,683.88","335,968.00",0.00," May, 2017 "
no,           NGL Marketing SEC ,"622,486,111.46",0.00,0.00," May, 2017 "
no,           NGL Logistics SEC ,"41,049,022.00",0.00,0.00," May, 2017 "
no,           Wholesale Propane SEC ,"8,309,276.17",0.00,0.00," May, 2017 "
no,           Logistics Other SEC ,"-387,963,775.40",0.00,0.00," May, 2017 "
yes,      Logistics SEC ,"514,195,318.11","335,968.00",0.00," May, 2017 "
no,                Michigan SEC ,"1,984,618.28","229,444.90",0.00," Jun, 2017 "
no,                DJ Basin SEC ,"88,159,787.54","799,391.00",81437.00," Jun, 2017 "
no,                Piceance Basin SEC ,"2,004,414.57","80,625.00",2339.00," Jun, 2017 "
yes,           North SEC ,"92,148,820.39","1,109,460.90",83776.00," Jun, 2017 "
no,                Goldsmith/Fullerton SEC ,"26,229,412.00","194,518.00",23446.00," Jun, 2017 "
no,                Ozona SEC ,"23,059,270.26","184,634.45",18461.83," Jun, 2017 "
no,                Southeast New Mexico SEC ,"59,155,404.89","418,946.00",43876.00," Jun, 2017 "
no,                Triad SEC ,"23,120,357.45","154,349.12",20415.11," Jun, 2017 "
no,                Permian Other SEC ,"-5,201,787.24",0.00,0.00," Jun, 2017 "
yes,           Permian SEC ,"126,362,657.35","952,447.57",106198.93," Jun, 2017 "
no,                Arklatex SEC ,"17,964,829.80","344,950.00",13059.00," Jun, 2017 "
no,                Discovery SEC ,0.00,"185,048.00",8515.00," Jun, 2017 "
no,                Gulf Coast SEC ,"3,909,119.18","131,684.27",5432.07," Jun, 2017 "
no,                South Central Texas SEC ,"68,076,785.74","533,633.20",65080.01," Jun, 2017 "
no,                Barnett Shale SEC ,"1,862,445.68","22,111.00",1935.00," Jun, 2017 "
no,                South Other SEC ,"-13,157,889.79",0.00,0.00," Jun, 2017 "
yes,           South SEC ,"78,655,290.61","1,217,426.47",94021.07," Jun, 2017 "
no,                Central Oklahoma SEC ,"28,738,793.80","262,527.00",32672.00," Jun, 2017 "
no,                Liberal SEC ,"37,547,287.82","382,761.38",18802.00," Jun, 2017 "
no,                Panhandle SEC ,"23,398,359.12","190,569.00",16269.00," Jun, 2017 "
no,                Southern Oklahoma SEC ,"33,092,299.73","370,851.00",22038.00," Jun, 2017 "
no,                Mid Continent Other SEC ,"-3,795,191.57",0.00,0.00," Jun, 2017 "
yes,           Mid Continent SEC ,"118,981,548.90","1,206,708.38",89781.00," Jun, 2017 "
no,                G/P Other SEC ,"8,470,406.14",0.00,0.00," Jun, 2017 "
no,                G&P Other Elims SEC ,"-419,370.58",0.00,0.00," Jun, 2017 "
yes,           Gathering and Processing Other SEC ,"8,051,035.56",0.00,0.00," Jun, 2017 "
no,      Gathering and Processing SEC ,"424,199,352.81","4,486,043.32",373777.01," Jun, 2017 "
no,           Gas Marketing SEC ,"221,605,479.88","75,298.00",0.00," Jun, 2017 "
no,           NGL Marketing SEC ,"690,259,699.69",0.00,0.00," Jun, 2017 "
no,           NGL Logistics SEC ,"33,401,019.12",0.00,0.00," Jun, 2017 "
no,           Wholesale Propane SEC ,"6,909,666.23",0.00,0.00," Jun, 2017 "
no,           Logistics Other SEC ,"-339,639,275.18",0.00,0.00," Jun, 2017 "
yes,      Logistics SEC ,"612,536,589.74","75,298.00",0.00," Jun, 2017 "
no,                Michigan SEC ,"2,036,063.68","220,582.64",0.00," Jul, 2017 "
no,                DJ Basin SEC ,"99,475,692.78","848,302.00",85212.00," Jul, 2017 "
no,                Piceance Basin SEC ,"2,336,860.14","83,619.00",2232.00," Jul, 2017 "
yes,           North SEC ,"103,848,616.60","1,152,503.64",87444.00," Jul, 2017 "
no,                Goldsmith/Fullerton SEC ,"28,544,394.19","202,416.00",24392.00," Jul, 2017 "
no,                Ozona SEC ,"23,643,833.42","178,205.98",16372.51," Jul, 2017 "
no,                Southeast New Mexico SEC ,"65,241,191.63","424,421.00",45726.00," Jul, 2017 "
no,                Triad SEC ,"23,605,164.74","149,539.59",19779.07," Jul, 2017 "
no,                Permian Other SEC ,"-5,066,768.08",0.00,0.00," Jul, 2017 "
yes,           Permian SEC ,"135,967,815.90","954,582.57",106269.58," Jul, 2017 "
no,                Arklatex SEC ,"18,856,643.82","352,161.00",14266.00," Jul, 2017 "
no,                Discovery SEC ,0.00,"184,836.00",8858.00," Jul, 2017 "
no,                Gulf Coast SEC ,"4,790,140.03","134,348.16",5360.89," Jul, 2017 "
no,                South Central Texas SEC ,"83,645,232.70","610,257.00",73582.00," Jul, 2017 "
no,                Barnett Shale SEC ,"2,013,060.97","22,095.00",1936.00," Jul, 2017 "
no,                South Other SEC ,"-15,177,198.65",0.00,0.00," Jul, 2017 "
yes,           South SEC ,"94,127,878.87","1,303,697.16",104002.89," Jul, 2017 "
no,                Central Oklahoma SEC ,"29,498,094.70","258,969.00",31257.00," Jul, 2017 "
no,                Liberal SEC ,"40,864,849.11","394,481.84",24403.00," Jul, 2017 "
no,                Panhandle SEC ,"29,117,694.38","201,244.00",19840.00," Jul, 2017 "
no,                Southern Oklahoma SEC ,"33,650,653.30","356,843.00",20860.00," Jul, 2017 "
no,                Mid Continent Other SEC ,"-4,194,683.12",0.00,0.00," Jul, 2017 "
yes,           Mid Continent SEC ,"128,936,608.37","1,211,537.84",96360.00," Jul, 2017 "
no,                G/P Other SEC ,"-19,464,685.96",0.00,0.00," Jul, 2017 "
no,                G&P Other Elims SEC ,"-411,494.69",0.00,0.00," Jul, 2017 "
yes,           Gathering and Processing Other SEC ,"-19,876,180.65",0.00,0.00," Jul, 2017 "
no,      Gathering and Processing SEC ,"443,004,739.09","4,622,321.21",394076.47," Jul, 2017 "
no,           Gas Marketing SEC ,"221,258,340.56","494,157.00",0.00," Jul, 2017 "
no,           NGL Marketing SEC ,"817,392,319.82",0.00,0.00," Jul, 2017 "
no,           NGL Logistics SEC ,"44,928,148.22",0.00,0.00," Jul, 2017 "
no,           Wholesale Propane SEC ,"5,299,035.71",0.00,0.00," Jul, 2017 "
no,           Logistics Other SEC ,"-416,047,016.06",0.00,0.00," Jul, 2017 "
yes,      Logistics SEC ,"672,830,828.25","494,157.00",0.00," Jul, 2017 "
no,                Michigan SEC ,"2,063,333.35","228,035.77",0.00," Aug, 2017 "
no,                DJ Basin SEC ,"108,602,426.63","866,681.00",86049.00," Aug, 2017 "
no,                Piceance Basin SEC ,"2,829,334.52","88,204.00",2490.00," Aug, 2017 "
yes,           North SEC ,"113,940,212.53","1,182,920.77",88539.00," Aug, 2017 "
no,                Goldsmith/Fullerton SEC ,"29,751,313.05","194,369.00",22642.00," Aug, 2017 "
no,                Ozona SEC ,"23,348,862.45","172,327.01",15790.24," Aug, 2017 "
no,                Southeast New Mexico SEC ,"68,590,586.23","425,023.00",43738.00," Aug, 2017 "
no,                Triad SEC ,"22,381,929.60","143,826.82",16798.33," Aug, 2017 "
no,                Permian Other SEC ,"-5,210,375.64",0.00,0.00," Aug, 2017 "
yes,           Permian SEC ,"138,862,315.69","935,545.83",98968.57," Aug, 2017 "
no,                Arklatex SEC ,"18,501,960.48","346,394.00",14589.00," Aug, 2017 "
no,                Discovery SEC ,0.00,"155,514.00",8759.00," Aug, 2017 "
no,                Gulf Coast SEC ,"4,405,733.60","125,260.00",4534.57," Aug, 2017 "
no,                South Central Texas SEC ,"63,700,227.93","468,384.68",56877.63," Aug, 2017 "
no,                Barnett Shale SEC ,"2,229,369.35","21,709.00",2009.00," Aug, 2017 "
no,                South Other SEC ,"-12,673,630.20",0.00,0.00," Aug, 2017 "
yes,           South SEC ,"76,163,661.16","1,117,261.68",86769.19," Aug, 2017 "
no,                Central Oklahoma SEC ,"31,093,012.55","260,300.00",32384.00," Aug, 2017 "
no,                Liberal SEC ,"40,444,818.58","367,967.30",19061.00," Aug, 2017 "
no,                Panhandle SEC ,"32,299,142.05","198,989.00",21457.00," Aug, 2017 "
no,                Southern Oklahoma SEC ,"35,265,750.65","343,736.00",18729.00," Aug, 2017 "
no,                Mid Continent Other SEC ,"-3,970,798.52",0.00,0.00," Aug, 2017 "
yes,           Mid Continent SEC ,"135,131,925.31","1,170,992.30",91631.00," Aug, 2017 "
no,                G/P Other SEC ,"-33,613,283.74",0.00,0.00," Aug, 2017 "
no,                G&P Other Elims SEC ,"-365,142.66",0.00,0.00," Aug, 2017 "
yes,           Gathering and Processing Other SEC ,"-33,978,426.40",0.00,0.00," Aug, 2017 "
no,      Gathering and Processing SEC ,"430,119,688.29","4,406,720.58",365907.76," Aug, 2017 "
no,           Gas Marketing SEC ,"210,840,521.71","265,783.00",0.00," Aug, 2017 "
no,           NGL Marketing SEC ,"702,684,615.33",0.00,0.00," Aug, 2017 "
no,           NGL Logistics SEC ,"36,581,403.03",0.00,0.00," Aug, 2017 "
no,           Wholesale Propane SEC ,"7,758,614.37",0.00,0.00," Aug, 2017 "
no,           Logistics Other SEC ,"-437,077,703.84",0.00,0.00," Aug, 2017 "
yes,      Logistics SEC ,"520,787,450.60","265,783.00",0.00," Aug, 2017 "
no,                Michigan SEC ,"1,928,971.05","206,902.50",0.00," Sep, 2017 "
no,                DJ Basin SEC ,"112,871,055.48","874,379.67",86049.00," Sep, 2017 "
no,                Piceance Basin SEC ,"656,202.20","93,869.00",0.00," Sep, 2017 "
yes,           North SEC ,"115,454,205.57","1,175,151.17",86049.00," Sep, 2017 "
no,                Goldsmith/Fullerton SEC ,"32,237,859.52","198,028.00",25306.00," Sep, 2017 "
no,                Ozona SEC ,"24,403,191.21","179,582.23",16870.48," Sep, 2017 "
no,                Southeast New Mexico SEC ,"63,131,782.94","374,647.00",35222.00," Sep, 2017 "
no,                Triad SEC ,"24,376,380.11","138,389.45",18925.55," Sep, 2017 "
no,                Permian Other SEC ,"-5,421,161.11",0.00,0.00," Sep, 2017 "
yes,           Permian SEC ,"138,728,052.67","890,646.68",96324.04," Sep, 2017 "
no,                Arklatex SEC ,"19,187,583.43","365,711.00",16058.00," Sep, 2017 "
no,                Discovery SEC ,0.00,"125,156.00",8233.00," Sep, 2017 "
no,                Gulf Coast SEC ,"1,524,030.00","77,647.33",1634.18," Sep, 2017 "
no,                South Central Texas SEC ,"76,707,037.00","565,995.00",62635.78," Sep, 2017 "
no,                Barnett Shale SEC ,"2,286,386.40","21,662.00",2082.00," Sep, 2017 "
no,                South Other SEC ,"-13,031,458.19",0.00,0.00," Sep, 2017 "
yes,           South SEC ,"86,673,578.64","1,156,171.33",90642.96," Sep, 2017 "
no,                Central Oklahoma SEC ,"31,736,784.72","259,861.00",31642.00," Sep, 2017 "
no,                Liberal SEC ,"44,108,347.09","381,840.00",20267.00," Sep, 2017 "
no,                Panhandle SEC ,"34,553,776.61","203,651.00",22341.00," Sep, 2017 "
no,                Southern Oklahoma SEC ,"42,992,835.63","388,303.00",25185.00," Sep, 2017 "
no,                Mid Continent Other SEC ,"-4,266,679.24",0.00,0.00," Sep, 2017 "
yes,           Mid Continent SEC ,"149,125,064.81","1,233,655.00",99435.00," Sep, 2017 "
no,                G/P Other SEC ,"-23,926,916.97",0.00,0.00," Sep, 2017 "
no,                G&P Other Elims SEC ,"-334,919.52",0.00,0.00," Sep, 2017 "
yes,           Gathering and Processing Other SEC ,"-24,261,836.49",0.00,0.00," Sep, 2017 "
no,      Gathering and Processing SEC ,"465,719,065.20","4,455,624.18",372450.99," Sep, 2017 "
no,           Gas Marketing SEC ,"210,457,480.68","252,564.00",0.00," Sep, 2017 "
